"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1971","1281","1","","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1972","1362","1","","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1973","1648","1","","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1974","1768","1","218","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1975","1448","1","299","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1976","1494","1","179","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1977","1644","1","166","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1978","3080","1","161","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1979","761","1","140","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1980","5109","1","465","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1981","884","1","256","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1982","2751","1","789","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1983","1139","1","78","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1984","1579","1","128","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1985","232","1","179","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","Survey","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1986","1087","1","129","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1987","1991","1","190","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1988","3690","1","438","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1989","388","1","407","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
"HCchum2020","Hood Canal","Summer Chum","","","127","Strait of Juan de Fuca","Strait of Juan de Fuca","","SumR","","1990","341","1","187","WDFW, Point No Point Treaty Council","Mari Williams","Hood Canal Summer Chum Natural Origin Spawner Abundance (1971-2019). Spawner abundance data. Point No Point Treaty Council and Washington Department of Fish and Wildlife. Personal Communication with Mindy Rowse, 2020.",""
